value,life.form,leaf.type,leaf.longevity,land.cover
1,Trees,Needle,Evergreen,9.8
2,Trees,Needle,Deciduous,1.7
3,Trees,Needle,Mixed,0.6
4,Trees,Broad,Evergreen,8.2
5,Trees,Broad,Deciduous,3
6,Trees,Broad,Mixed,0.5
7,Trees,Mixed,Evergreen,0.25
8,Trees,Mixed,Deciduous,0.03
9,Trees,Mixed,Mixed,3.5
10,Trees_Shrubs,Needle,Evergreen,1.5
11,Trees_Shrubs,Needle,Deciduous,0.2
12,Trees_Shrubs,Needle,Mixed,0.05
13,Trees_Shrubs,Broad,Evergreen,0.3
14,Trees_Shrubs,Broad,Deciduous,2.5
15,Trees_Shrubs,Broad,Mixed,0.2
16,Trees_Shrubs,Mixed,Evergreen,0.03
17,Trees_Shrubs,Mixed,Deciduous,0.04
18,Trees_Shrubs,Mixed,Mixed,0.3
19,Trees_Grasses,Needle,Evergreen,0.2
20,Trees_Grasses,Needle,Deciduous,0.03
21,Trees_Grasses,Needle,Mixed,0.01
22,Trees_Grasses,Broad,Evergreen,0.3
23,Trees_Grasses,Broad,Deciduous,2.15
24,Trees_Grasses,Broad,Mixed,0.15
25,Trees_Grasses,Mixed,Evergreen,0.005
26,Trees_Grasses,Mixed,Deciduous,0.02
27,Trees_Grasses,Mixed,Mixed,0.2
28,Trees_Crops,Needle,Evergreen,0.3
29,Trees_Crops,Needle,Deciduous,0.006
30,Trees_Crops,Needle,Mixed,0.003
31,Trees_Crops,Broad,Evergreen,0.7
32,Trees_Crops,Broad,Deciduous,1.1
33,Trees_Crops,Broad,Mixed,0.2
34,Trees_Crops,Mixed,Evergreen,0.01
35,Trees_Crops,Mixed,Deciduous,0.01
36,Trees_Crops,Mixed,Mixed,0.4
37,Shrubs,-,-,4.5
38,Shrubs_Grasses,-,-,8.3
39,Shrubs_Crops,-,-,0.4
40,Shrubs_Barren,-,-,10.5
41,Grasses,-,-,8.3
42,Grasses_Crops,-,-,1.5
43,Grasses_Barren,-,-,0.3
44,Crops,-,-,10.7
45,Barren,-,-,11.7
46,Urban,-,-,0.2
47,Snow_Ice,-,-,5.2
